机构名称,机构类型,赛道覆盖,投资阶段,单笔规模下限_万元,单笔规模上限_万元,覆盖地区,投资风格备注,代表案例
红杉中国,VC/PE,硬科技、人工智能、医疗健康、新消费、企业服务/SaaS、新能源,A轮、B轮、C轮+,1000,100000,全国,全阶段覆盖，偏好行业头部与赛道龙头潜力项目,拼多多、美团、字节跳动
IDG资本,VC/PE,人工智能、医疗健康、新消费、TMT、企业服务/SaaS,天使轮、A轮、B轮,500,30000,全国,长线陪伴型，偏好有清晰技术或商业壁垒的早期项目,小米、腾讯、百度
经纬创投,VC,人工智能、企业服务/SaaS、新消费、医疗健康,天使轮、A轮、B轮,300,20000,全国,偏好高成长赛道，投资节奏快，决策链条短,陌陌、猿辅导、瓜子二手车
高瓴创投(GL Ventures),VC,医疗健康、硬科技、新能源、人工智能,A轮、B轮、C轮+,1000,80000,全国,研究驱动型，重仓深度产业分析后的赛道龙头,百济神州、宁德时代
真格基金,VC,人工智能、新消费、企业服务/SaaS、TMT,天使轮、Pre-A轮,100,3000,全国,早期天使为主，看重创始团队与赛道时机,小红书、饿了么、Boss直聘
五源资本,VC,人工智能、硬科技、新消费、TMT,天使轮、A轮、B轮,300,15000,全国,偏好技术驱动型创始人，早期介入深,快手、理想汽车、猿辅导
源码资本,VC,人工智能、企业服务/SaaS、新消费,A轮、B轮,1000,30000,全国,重视生态陪伴，投后赋能资源丰富,字节跳动、美团、理想汽车
金沙江创投,VC,人工智能、新消费、TMT、企业服务/SaaS,天使轮、A轮,200,5000,全国,决策快，偏好模式创新与出海项目,滴滴出行、饿了么
创新工场,VC,人工智能、硬科技、企业服务/SaaS,天使轮、A轮,300,8000,全国,技术背景强，偏好AI+行业结合的项目,旷视科技、知乎
联想之星,VC,硬科技、人工智能、医疗健康、机器人/智能制造,天使轮、A轮,200,5000,全国,产业资源丰富，偏好硬科技早期项目,旷视科技、诺禾致源
高榕资本,VC,人工智能、新消费、企业服务/SaaS,A轮、B轮,500,20000,全国,少而精策略，深度参与被投企业成长,拼多多、满帮集团
光速中国,VC,人工智能、企业服务/SaaS、硬科技,天使轮、A轮、B轮,300,15000,全国,全球视野，偏好技术底层创新,小米、UCloud
GGV纪源资本,VC,人工智能、企业服务/SaaS、新消费、出海,A轮、B轮,500,25000,全国/跨境,中美双边资源，擅长出海项目,小红书、Airbnb
华兴资本/华兴新经济基金,FA/PE,TMT、新消费、企业服务/SaaS、医疗健康,B轮、C轮+,2000,100000,全国,投行背景，擅长中后期大额融资撮合,美团、京东
深创投,PE/国资,硬科技、半导体、新能源、机器人/智能制造,A轮、B轮、C轮+,1000,50000,全国，偏华南,国资背景，硬科技赛道覆盖广，决策周期偏长,蔚来汽车、中芯国际
达晨财智,PE/VC,硬科技、新消费、医疗健康、企业服务/SaaS,A轮、B轮,1000,20000,全国，偏华南,本土老牌机构，偏好Pre-IPO及成长期项目,掌趣科技、亿纬锂能
君联资本,VC/PE,硬科技、医疗健康、企业服务/SaaS、人工智能,A轮、B轮、C轮+,1000,30000,全国,联想系背景，产业资源强，偏稳健,科大讯飞、亿纬锂能
启明创投,VC,医疗健康、人工智能、企业服务/SaaS、硬科技,A轮、B轮、C轮+,1000,40000,全国,医疗与科技双赛道深耕，专业度高,中通快递、诺禾致源
北极光创投,VC,硬科技、半导体、人工智能、企业服务/SaaS,天使轮、A轮、B轮,300,15000,全国,技术型基金，偏好硬科技与半导体早期项目,百度、中芯国际
线性资本,VC,人工智能、企业服务/SaaS、硬科技,天使轮、A轮,200,6000,全国,AI技术专精，偏好B端软件与算法项目,地平线机器人、Momenta
顺为资本,VC,人工智能、新消费、企业服务/SaaS、硬科技,天使轮、A轮、B轮,300,15000,全国,小米生态资源，偏好智能硬件与消费科技,小米生态链企业、YOU+
小米产投,CVC,硬科技、机器人/智能制造、人工智能、新消费,A轮、B轮,500,15000,全国,产业协同导向，偏好智能硬件与供应链项目,小米生态链企业
阿里资本,CVC,人工智能、企业服务/SaaS、新消费、出海,B轮、C轮+,2000,80000,全国,产业协同强，偏好与阿里生态互补的项目,分众传媒、微博
腾讯投资,CVC,人工智能、TMT、企业服务/SaaS、新消费、医疗健康,A轮、B轮、C轮+,1000,100000,全国,生态协同投资，覆盖阶段广，决策周期偏长,拼多多、京东、快手
字节跳动战投,CVC,人工智能、新消费、TMT、企业服务/SaaS,A轮、B轮,500,30000,全国,内容与流量协同为主，偏好数据驱动型项目,剪映生态相关企业
美团龙珠,CVC/VC,新消费、企业服务/SaaS、硬科技,A轮、B轮,500,20000,全国,偏好本地生活相关及供应链项目,蜜雪冰城、理想汽车
中金资本,PE,硬科技、医疗健康、新能源、半导体,B轮、C轮+,3000,100000,全国,投行系资金，偏好Pre-IPO及大额成长期融资,多家科创板上市企业
国投创新,PE/国资,硬科技、半导体、新能源、机器人/智能制造,B轮、C轮+,3000,80000,全国,国家队资金，聚焦国产替代与硬科技战略赛道,中芯国际、寒武纪
招商局资本,PE/国资,硬科技、新能源、医疗健康、机器人/智能制造,B轮、C轮+,3000,60000,全国，偏华南,产业协同型国资，重视供应链整合能力,宁德时代、中芯国际
高瓴礼来亚洲基金,VC/专项基金,医疗健康、创新药,天使轮、A轮、B轮,500,30000,全国,医疗健康垂直专精，学术资源丰富,百济神州、信达生物
奥博资本(OrbiMed),VC/专项基金,医疗健康、创新药,A轮、B轮、C轮+,1000,40000,全国,全球医疗健康专项基金，偏好创新药与器械,信达生物、传奇生物
元璟资本,VC,人工智能、企业服务/SaaS、新消费,天使轮、A轮,300,8000,全国,阿里系背景团队，偏好数字化转型项目,每日优鲜、猿辅导
愉悦资本,VC,新消费、企业服务/SaaS、出海,天使轮、A轮,300,8000,全国,偏好共享经济与消费创新项目,神州租车、青云科技
天图投资,PE/VC,新消费,A轮、B轮、C轮+,1000,30000,全国,消费赛道垂直基金，投后品牌赋能能力强,百果园、周黑鸭
梅花创投,VC,人工智能、新消费、企业服务/SaaS,天使轮、Pre-A轮,100,2000,全国,早期天使，决策快，偏好赛道新趋势,水滴筹、地平线机器人
险峰长青,VC,人工智能、新消费、企业服务/SaaS、TMT,天使轮、A轮,200,5000,全国,早期精品基金，偏好高潜力创始团队,拼多多、水滴筹
明势资本,VC,硬科技、机器人/智能制造、新能源,天使轮、A轮,300,8000,全国,先进制造与硬科技垂直基金,理想汽车、地平线机器人
华映资本,VC,TMT、新消费、企业服务/SaaS,A轮、B轮,500,15000,全国,两岸资源背景，偏好文娱与消费科技,秒拍、雪球
中信产业基金,PE,硬科技、医疗健康、新能源、新消费,B轮、C轮+,3000,60000,全国,综合性大型PE，覆盖多赛道成长期项目,顺丰控股、爱奇艺
深投控资本,PE/国资,硬科技、半导体、新能源,B轮、C轮+,2000,50000,华南,深圳国资平台，聚焦本地硬科技产业链,中兴通讯相关产业链企业
松禾资本,VC/PE,硬科技、人工智能、半导体,A轮、B轮,500,15000,华南,深圳老牌硬科技基金，产业链资源深,大疆创新、华大基因
同创伟业,PE/VC,硬科技、医疗健康、半导体,A轮、B轮、C轮+,1000,30000,华南,本土成长期基金，偏好上市前项目,美亚柏科、汇顶科技
东方富海,PE/VC,硬科技、新消费、医疗健康、企业服务/SaaS,A轮、B轮,500,15000,华南,覆盖多赛道，偏好成长期稳健项目,值得买、飞荣达
毅达资本,PE/国资,硬科技、新能源、医疗健康,B轮、C轮+,2000,40000,华东,江苏国资平台，聚焦长三角产业链,长电科技、恒瑞医药相关产业链
盈科资本,PE,硬科技、医疗健康、新消费,B轮、C轮+,2000,30000,全国,综合性PE，偏好Pre-IPO项目,多家A股上市企业
弘晖基金,VC/PE,医疗健康、创新药,A轮、B轮,500,15000,全国,医疗健康专项基金，产业资源丰富,微创医疗、康希诺
泰福资本,VC/专项基金,医疗健康、创新药,天使轮、A轮,300,8000,全国,医疗健康早期专项基金,多家创新药企业
云九资本,VC,人工智能、企业服务/SaaS、新消费,天使轮、A轮、B轮,300,12000,全国,偏好中国出海及跨境项目,货拉拉、笔神作文
挑战者创投,VC,新消费、企业服务/SaaS,天使轮、Pre-A轮,100,2000,全国,早期消费与新兴品类基金,泡泡玛特相关早期项目
光大控股,PE,硬科技、医疗健康、新能源,B轮、C轮+,3000,60000,全国/香港,跨境资源丰富，偏好中后期成长项目,多家港股/A股上市企业
建发新兴投资,PE/国资,硬科技、新能源、新消费,B轮、C轮+,2000,40000,华东,厦门国资平台，产业链协同,多家福建产业链企业
深圳前海母基金,母基金/国资,硬科技、新能源、人工智能、机器人/智能制造,A轮、B轮、C轮+,1000,50000,华南,母基金为主，偏好通过子基金间接投资,多支子基金
地平线创投(内部),CVC,人工智能、机器人/智能制造、硬科技,A轮、B轮,500,15000,全国,智能驾驶产业链协同投资,上下游智能驾驶供应链企业
美的资本,CVC,机器人/智能制造、硬科技、新能源,A轮、B轮,500,20000,全国,家电制造产业协同，偏好智能制造项目,库卡机器人相关产业链
海尔资本,CVC,机器人/智能制造、企业服务/SaaS、新消费,A轮、B轮,500,15000,全国,智能家居生态协同投资,智能家居生态链企业
宁德时代产投(问鼎投资),CVC,新能源、硬科技,A轮、B轮、C轮+,1000,30000,全国,新能源产业链上下游协同投资,电池材料及设备产业链企业
比亚迪产投,CVC,新能源、硬科技、机器人/智能制造,A轮、B轮,500,20000,全国,新能源汽车产业链协同投资,汽车零部件及半导体产业链企业
华为哈勃投资,CVC,半导体、硬科技、人工智能,A轮、B轮,500,20000,全国,半导体与硬科技国产替代协同投资,多家半导体设备与材料企业
中芯聚源,CVC/专项基金,半导体、硬科技,A轮、B轮、C轮+,1000,30000,全国,半导体产业链专项投资基金,多家半导体设计与制造企业
小米长江产业基金,CVC/专项基金,硬科技、机器人/智能制造、半导体,A轮、B轮,500,20000,华中,湖北国资+小米产业协同基金,多家智能制造供应链企业
小蓝基金(出海专项),VC/专项基金,出海、TMT、新消费,天使轮、A轮,200,5000,全国/东南亚,专注中国企业出海东南亚与中东,多家跨境电商与SaaS企业
峰瑞资本,VC,硬科技、新消费、医疗健康,天使轮、A轮,200,6000,全国,偏好硬科技与消费交叉领域早期项目,三顿半、荔枝FM
青松基金,VC,人工智能、新消费、企业服务/SaaS,天使轮、Pre-A轮,100,2000,全国,早期精品基金，偏好数据与算法驱动项目,多点Dmall、猫眼
顺为出海基金,VC/专项基金,出海、人工智能、TMT,A轮、B轮,500,15000,全国/海外,小米系出海资源，偏好东南亚与拉美市场,多家出海SaaS与工具类企业
